📺央视频道,#genre#
山东教育卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000173/1000.m3u8?
湖北卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000014/1000.m3u8?
辽宁卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000016/1000.m3u8?
重庆卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000025/1000.m3u8?
贵州卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000028/1000.m3u8?
江西卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000031/1000.m3u8?
河南卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000048/1000.m3u8?
安徽卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000056/1000.m3u8?
大湾区卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000066/1000.m3u8?
海南卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000067/1000.m3u8?
西藏卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000068/1000.m3u8?
兵团卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000069/1000.m3u8?
三沙卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000070/1000.m3u8?
新疆卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000071/1000.m3u8?
湖南卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000073/1000.m3u8?
东方卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000077/1000.m3u8?
四川卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000082/1000.m3u8?
黑龙江卫视,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000084/1000.m3u8?
